State,US pop using illicit drugs in the last month
Alabama,94830
Alaska,18645
Arizona,199339
Arkansas,46019
California,772364
Colorado,139867
Connecticut,90895
Delaware,32462
D.C.,24974
Florida,486080
Georgia,168556
Hawaii,39749
Idaho,40678
Illinois,241096
Indiana,158458
Iowa,42523
Kansas,56122
Kentucky,120733
Louisiana,160865
Maine,28249
Maryland,173620
Massachusetts,157986
Michigan,205862
Minnesota,85396
Mississippi,44003
Missouri,143233
Montana,22471
Nebraska,23005
Nevada,92033
New Hampshire,29145
New Jersey,208485
New Mexico,76923
New York,302139
North Carolina,197347
North Dakota,12677
Ohio,330519
Oklahoma,98954
Oregon,90173
Pennsylvania,379232
Rhode Island,25291
South Carolina,107647
South Dakota,10614
Tennessee,190267
Texas,473958
Utah,82609
Vermont,10093
Virginia,129872
Washington,157182
West Virginia,71882
Wisconsin,109332
Wyoming,10621
US Average,6698153